,text_section
10,"[""TITLE: Fitzcarraldo"", ""TEXT PLACEHOLDER 011"", ""<P>"", ""You're certainly an opera-lover, but not enough of one to haul a steamship through the Amazon."", ""<P>"", ""The closest you've come to this in real life was the time you decided to move your entire apartment (or as much of it as you could) on foot from your old place to your new place. You happened to have your leases timed so that you were paying rent on two different places at the same time, so you had the luxury of moving from one place to the next in slow motion. Being without a vehicle, you decided to do as much of this as you could on foot, solely for the bragging rights, over the course of two or three weeks--mostly during your lunch breaks from work."", ""<P>"", ""You had a wheelie cart that you primarily used for laundry and bigger grocery trips that aided you in this purpose (and unfortunately became quite busted up in the process). This was quite useful for hauling your insane amount of books between locations, though it wasn't much help for the two flights of steps down from the old place or the flight up steps up to the new place. You also physically manhandled many large and unwieldy pieces of furniture, including book cases, all by yourself. Being blessed with a good amount of upper body strength as well as more endurance than sense, this worked for all but they very largest pieces of furniture, and very little ended up broken or damaged. Your wife (still alive at the time of course) was able to assist with some of the larger items. In the end you did need to rent a van for the mattress and boxsprings and one large dresser, but everything else went on foot."", ""<P>"", ""Throughout your lonely labors, you had a clip-on mp3 player to entertain you that was loaded with the complete works of De La Soul, who had just released their entire catalog as downloadable mp3s shortly prior to your move. You got to hear every single De La Soul song on random several times during your travails. At some point during the process you bit the inside of your bottom lip, which swelled considerably, which was a great annoyance that cast a bit of a shadow on your incredible achievement. You are proud however that at no point did you lose your cool and start yelling at people, and no indigenous workers lost their lives or limbs assisting you in your mad project.""]"
11,"[""TITLE: My Best Fiend"", ""TEXT PLACEHOLDER 012"", ""<P>"", ""This film is a good reminder to you of your ten-percent/one-percent theory of assholes and psychopaths, which you developed when you were driving a cab."", ""<P>"", ""Ninety percent of people are basically Harmless. That's not to say they're pleasant--anyone can be unpleasant if you catch them on a bad day, and during bad times most of the people you encounter may be very unpleasant. But when push comes to shove they are harmless and easy to ignore. You can make small talk with the nice people or just ignore them. When the nasty people are unpleasant, you can snarl back at them or, again, just ignore them. Klaus Kinski is not one of these people, obviously."", ""<P>"", ""Ten percent of people, however, are Assholes. One in ten are going to be a problem of some sort that may require some attention, and they have the potential to make things difficult for you. That's not to say they may cause you actual harm--most of these pricks are fairly harmless as well--but diplomacy of some sort may be required to keep them from causing problems for you or making a scene or saying or doing something that will be damaging to your ego or ruin your otherwise good mood. Thick skin is required if you have to deal with assholes like this regularly, which is a necessity for anyone who works anywhere near the service industry. Klaus Kinski falls solidly within this category."", ""<P>"", ""Most of this ten percent of Assholes are noxious and can easily ruin your day, although if you're an even bigger asshole then they are the kind of people you can sharpen your own claws on for sport, which can often be very satisfying. And at worst they will ruin your day, but unless you completely flub an encounter with them, there won't be any catastrophic damage. Prolonged exposure can certainly wear on you though, so don't dismiss them too lightly."", ""<P>"", ""However, this subgroup also contains the one percent of the population that you would properly classify as Psychopaths. These are the people who are actually dangerous. These are the people who can actually really do you harm, physical or otherwise, if you don't deal with them carefully. They may take a swing at you, they may try to get you fired, they may try to do something to you that will do lasting damage if you don't deal with them properly. They may be irrational and their reactions to anything you do may be disproportionate. And dealing with them without incurring any lasting damage may mean prioritizing your safety over your comfort or your ego. This lot is completely toxic and has a high likelihood of ruining your day regardless of how you handle them. It's the difference between a stray dog crapping on your lawn versus a rabid dog snarling at you on your porch while you're trying to get your mail."", ""<P>"", ""You've encountered plenty of people in this category over the course of your life. You easily recognize that Klaus Kinski is solidly in this category. And it's funny from a distance but you imagine it's pretty intense up close and personal...""]"
12,"[""TITLE: L'Age d'Or"", ""TEXT PLACEHOLDER 013"", ""<P>"", ""Sometimes you just want to watch a film that feels like a sixty-minute version of the fake surrealist films they would show on SNL on the \""Sprockets\"" East German television sketch. This film scratches that itch. It reminds you of every artsy dive bar you've ever been in that ran surrealist films in the background while you would toss back cheap cans of PBR or Narragansett or Natty Boh or Labatt's Blue or whatever the cheap local brand might be. It reminds you of The Bovine Sex Club, where you saw your first Herzog film (<I>Even Dwarfs Started Small</I>, courtesy of Suspect Video across the street). It reminds you of Club Charles. It reminds you of The Crown. It reminds you of The Cactus Club. It even reminds you of The Paradise, even though they didn't have televisions. Their irregular regulars provided enough surreal imagery and horror without Dali-inspired assistance."", ""<P>"", ""You find the scorpion documentary material at the beginning quite interesting. You worked with two Tunisian guys who would talk about finding scorpions around (which they considered a slightly-dangerous nuisance pest) near their homes and provoking them to fight to the death for sport. Your other co-workers considered this to be horrific and cruel, but they shrugged it off, saying it was better than just killing them. They'd let the winner go and let the world be blessed with one less scorpion, while letting the little beasts still behave within their nature. It's not something you'd participate in yourself, but at least their logic and intentions, if somewhat alien, seemed sound.""]"
13,"[""TITLE: Un Chien Andalou"", ""TEXT PLACEHOLDER 014"", ""<P>"", ""Like the cartoon series \""King of the Hill\"", this film is strongly associated in your memories with Montreal, and for you the cartoon and the film are inextricably linked."", ""<P>"", ""\""King of the Hill\"" reminds you of being buzzed on warmed-up sake at Les Foufounes Electriques while watching Hank and Bobby Hill on a small TV at the bar while everyone around you had drunken conversations in barely-comprehensible Quebecois French, then later dancing in a sake haze to electroclash music. Propane and propane accessories always bring memories of the taste of warm sake to the back of your tongue."", ""<P>"", ""<I>Un Chien Andalou</I> on the other hand reminds you of a different place whose name you don't recall, possibly long gone. You recall walking down the street with a mild buzz and being approached by one of the many, many shills in the city who pressed a ticket for a FREE SHOW with a complimentary ticket good for two drinks for the opening of some new dance club. They were papering the house and trying to get a good crowd going before the late night dancing started. The show ended up being a Doors cover band called \""The Back Doors\"", who were doing their best to recreate the energy of their early shows, with the lava lamp gel projections and this particular film playing in the background. You bopped your head along to the music by the Doors, even singing along quietly a bit. You'd certainly been a fan of them in your teens before broadening your horizons. There's no shame in being a Doors fan, only shame in never going beyond them--and they certainly spurred on an interest in poetry and opened you up to Kurt Weill and Aldous Huxley and Luis Bunuel. It was this film that really captured your attention this night. It wasn't something you could just go out and rent or view in any comfortable way. You only new of the notorious imagery through second-hand sources. And there it was for you on a screen behind a band playing beloved music from your teens while you stood sipping a free beer while surrounded by some of the most beautiful women you had ever seen in your life..."", ""<P>"", ""Both nights ended the same way, of course, with you proceeding back along rue Sainte Catherine very late at night with a pretty healthy buzz and getting cat-called by all the hookers hanging out in front of the donut shop."", ""<P>"", ""You never came back to <I>Un Chien Andalou</I> for a proper rewatch--until now. Watching this on a laptop in the coffee shop doesn't quite compare, but at least you can finally devote your undivided attention to it after all these years.""]"
14,"[""TITLE: Enigma of Kaspar Hauser"", ""TEXT PLACEHOLDER 015"", ""<P>"", ""At last we have a Werner Herzog film with \""that weird little guy\"" in it, as your friend would always refer to him. Something about Bruno S. always seems to lower your blood pressure a bit. He's strangely calming."", ""<P>"", ""You reflect a bit on how many Herzog films hit a bit different when you actually speak German. Werner Herzog himself, with his thick accent and precise way of speaking, always manages to sound very funny to a native English speaker, particularly when he speaks English with his thick German accent. But when he speaks German, his voice sounds very clear and normal to you, and his accent in German is extremely easy to understand, almost like that of a newscaster. Bruno S. on the other hand, while also being very easy to understand, sounds hilarious in either language. His odd way of speaking and his very strange cadence carries through both in German and in English and it brings a smile to your face whenever you hear it."", ""<P>"", ""You think back to your friend Roman, a Russian/Ukrainian exchange student who attended your high school. Roman was (and still is) a huge metalhead. He would always sit behind you in French class singing AC/DC and Nazareth songs and then asking you, \""Do I have accent when I sing?\"" You would inform him that yes, indeed, he does have an accent when he sings and he would ask you to specify how--which is a surprisingly difficult question to answer. Roman spent a lot of time listening to his favorite songs by his favorite bands and singing along, which is actually not a bad way to learn a language."", ""<P>"", ""As for yourself, you greatly enjoy singing karaoke songs with lyrics in French or Russian or German. You're certain that your pronunciation is imperfect, but you have no idea how. You rarely have occasion to do any of these around a native speaker, and certainly not with anyone you're comfortable enough to ask about how your accent sounds when you sing."", ""<P>"", ""One of your favorite ways to chill when you travel is to find somewhere the natives are doing karaoke songs. Most of them end up being pop songs with English lyrics, and hearing intoxicated non-native speakers belting out these tunes with various degrees of quality and often hilariously heavily accented, is a fun and calming way to enjoy a little slice of home while in a strange land."", ""<P>"", ""You're happy to say at least that when you've been abroad and tried to speak French you've at least had people compliment your accent (if not your fluency), but you also realize that the bar is very, very low...""]"
15,"[""TITLE: Nosferatu the Vampyre"", ""TEXT PLACEHOLDER 016"", ""<P>"", ""Dracula rarely adapts well, but this is an exception. It's actually pretty good. Having an actual weird looking psychopath playing a somewhat different kind of weirdly looking psychopath helps a bit in this regard, as does having Isabelle Adjani thrown in to the mix as an eye candy bonus."", ""<P>"", ""For you, the best thing about Dracula shit has always been the world-building. What kind of world has a Dracula in it, or multiple draculas running around draculing? You always enjoyed the lore better than any particular story. In high school you were pretty into Vampire: The Masquerade, and you were a bit disappointed that your RPG nerd friends could never quite get a campaign going. Your proto-goth twin sibling friends who usually acted as DMs were quite talented at DMing. But as with most gaming groups things rarely got past a few sessions before being torn to pieces by internal squabbles (particularly between siblings) and other outside distractions and relationships. Your clueless dipshit human fighter Ravenloft character barely got a chance to meet anyone who even knew Strahd before that particular campaign fell apart. And your VTM campaign fell apart before you could even get your character sheets made."", ""<P>"", ""Still when you're bored you'll find yourself accidentally spending hours on the White Wolf wiki, looking up Vampire lore from that universe and chasing the influences into the actual Wikipedia to see what kind of folklore influenced that universe."", ""<P>"", ""This movie makes you wish the Twilight novels had come out a few decades earlier. Klaus Kinski was born to sparkle as Edward, with his pale skin and his blonde locks flowing in the winds of the Pacific Northwest, cast alongside an actress half his age as he and his vampire friends (played by Bruno S. and Bruno Ganz and a time-shifted Bruno Kirby) 21 Jump Streeted things up in high school. You long for a world where Klaus Kinski got typecast as every vampire or vampyre from every subsequent franchise, to his utter horror. It would be worth it just for the Sesame Street outtakes from when Warner Brothers forced him to make an appearance to meet The Count in order to promote <I>The Vampire Lestat</I>"", ""<P>"", ""You try not to think about the mouse in your kitchen who keeps popping his head out of one of your burners as you watch Dracula sink his particularly rodent-like front teeth into someone's neck. You want to put some hamster toys into his coffin for him to gnaw on so he doesn't end up with malocclusion issues.""]"
16,"[""TITLE: The Master"", ""TEXT PLACEHOLDER 017"", ""<P>"", ""This movie reminds you of the time you actually got pulled aside by the Scientology folks to take a \""stress test\"" when you were on a visit to Toronto. You had already read all about the hidden secrets of Scientology from one volume of the William Poundstone <I>Big Secrets</I> book series and you were an obnoxious punk just out of your teens at the time, so you were eager to fuck around with them."", ""<P>"", ""The man who administered your stress test was exactly the sort of person you could imagine would be wrangling aspiring vulnerable potential cult trainees. He eagerly explained to you the benefits of Scientology with a mix of scientific and new age meditative thoughtful language as he handed you some soup can looking lie detector mumbo jumbo things to hold onto and then proceeded to ask you some alarmingly personal questions which you found yourself answering with various degrees of honesty. You were a bit horrified at how easily they pried some personal details out of you with their hard-sell technique, even mixed in with some of the glib bullshit answers that you gave."", ""<P>"", ""In the end the man asked if you had any further questions. He quite easily swatted away your usual questions about whether they were a cult or a religion or what their deal was, since they regularly expect to deal with that. He had friendly answers for all the usual concerns. He started getting quite a bit testier when you started asking about the Sea Org, denying that he knew anything about that, and then started to turn considerably more hostile when you asked about Xenu and volcanos and other hidden aspects of their lore that were much less public in those days. Eventually you scooted away, slightly worried that you had landed your name on some kind of Scientology shit list."", ""<P>"", ""In the end you walked away from the experience concluding that the target audience for the whole endeavor seemed to be lonely immigrants who were having trouble adjusting and making friends, which even your casual observations indicated there was no shortage of in Toronto in those days.""]"
17,"[""TITLE: Nimic"", ""TEXT PLACEHOLDER 018"", ""<P>"", ""This short film is a good reminder that everyone has a doppelganger, whether they look like you or not. You've had several doppelgangers over the years, and you've even found yourself on occasion spotting yourself in the background of other people's pictures on social media at some event you plausibly may have attended and asking yourself, \""Holy shit, have I let myself go that much\"" before zooming in and finding that it's an entirely different person. There are plenty of people who look like terrible versions of yourself out there, not that you are always completely pleased with what you see in the mirror, and you worry about those people being mistaken for you. Or you find yourself outrageously unflattered when you find out someone else saw them and mistook them for you..."", ""<P>"", ""When you lived in Madison, you apparently had a very convincing dirtbag doppelganger who looked an alarming amount like you. You never encountered this person directly, but on numerous occasions you were confronted by people who thought you were him. This usually was an unpleasant experience and would involve someone squaring up on you and asking \""Hey asshole, where the FUCK is my money?\"" or grabbing you by the shirt and demanding \""You stay the fuck away from my goddamn girlfriend you creep or I'm going to beat your ass!\"" This would follow with you looking alarmed and them doing a double-take and saying, \""Oh sorry, I thought you were so-and-so...you look exactly like him!\"" Always the same name. You're not sure how often so-and-so got mistaken for you, but you're sure it was probably a pleasant change of pace for him when he did."", ""<P>"", ""You remember on at least one occasion walking into a bar and encountering someone who looked eerily like yourself. You had quite a beer buzz going at the time, and you recall having the utterly absurd thought--\""Oh no, what do I do...I'm already here!\"""", ""<P>"", ""You're glad Matt Dillon is still working and you remind yourself that you'd rather not watch <I>The House That Jack Built</I>.""]"
18,"[""TITLE: Dottie Gets Spanked"", ""TEXT PLACEHOLDER 019"", ""<P>"", ""This film is extremely funny and touching in a way that makes you involuntarily reflect on having romantic and even sexual thoughts and feelings that you didn't quite understand at an uncomfortably young age. It makes you happy that you've never been a parent having to address such issues. It was awkward enough having to correct unwanted sexual behavior between two already neutered pet cats, one still a kitten. You can't imagine having to concern yourself with such behavior with a young human being in your care."", ""<P>"", ""You recall that one early exposure to the scantily clad women on a Benny Hill rerun while you were still in primary school led to a physiological response that confused and frightened you. When you ran in horror to your parents regarding this, you were awkwardly told to \""just go in the bathroom and splash some water on it\"", which did the trick. This occurrence was never spoken of again. Your parents were progressive, but not <I>that</I> progressive."", ""<P>"", ""Even sticking to more age-appropriate media wasn't enough to squash this curiosity and interest in the opposite sex. The scenes where the kid is making crayon drawings of the I Love Lucy surrogate being spanked reminds you of the times you carefully traced the outlines of Betty and Veronica and (especially) Sabrina in the Archie comic books, particularly in the issues where they were visiting the beach. You recall having a huge crush on the singing anthropomorphic mouse in the cheerleader outfit at the local pizza restaurant. It is a small miracle that you didn't end up a furry.""]"
19,"[""TITLE: Putney Swope"", ""TEXT PLACEHOLDER 020"", ""<P>"", ""You've been wanting to see this for years, but you have been thwarted at every opportunity. You recall it playing at the Maryland Film Festival (selected and introduced by electronic musician DJ Spooky no less), but it was either sold out or conflicted with another film you wanted to see. Similar conflicts blocked every chance you had to see it at some revival or other. You had (or are still having, depending on your previous choices) the same issue with <I>The Hudsucker Proxy</I>, which you know is related to this plot-wise."", ""<P>"", ""Upon finally seeing it you are delighted by how crazy and goofily funny it is. It turns out to be well worth the wait. Parts of it remind you of beloved classics of your youth such as <I>Kentucky Fried Movie</I> and <I>Amazon Women on the Moon</I>. You should be informed that neither of these is on the list of films that your choices here will lead you to, but there's nothing saying you can't go watch either of those or clips from them right now. The theme song of the former is particularly good..."", ""<P>"", ""You walk away from this film strongly convinced that Robert Downey, Sr., should do voice-over work for more blaxploitation films. Or, if you happen to be reading this after July 7, 2021, should have done more voice-over work (spoiler alert), in which case you pour out a little bit of your Moroccan Mint tea in his honor.""]"
